date, close , open , high , low , volume 
2020-11-05," 15,608.21 "," 14,165.86 "," 15,775.00 "," 14,115.00 "," 40,856,321,439 "
2020-11-06," 15,599.95 "," 15,608.06 "," 15,977.67 "," 15,190.36 "," 39,837,841,971 "
2020-11-07," 14,834.09 "," 15,599.95 "," 15,779.24 "," 14,310.00 "," 35,024,953,706 "
2020-11-08," 15,482.90 "," 14,834.09 "," 15,666.00 "," 14,721.90 "," 26,632,075,029 "
2020-11-09," 15,342.25 "," 15,482.89 "," 15,856.90 "," 14,817.14 "," 34,149,115,566 "
2020-11-10," 15,315.03 "," 15,342.10 "," 15,481.06 "," 15,090.08 "," 25,574,938,143 "
2020-11-11," 15,705.79 "," 15,315.46 "," 16,000.00 "," 15,293.04 "," 29,772,374,934 "
2020-11-12," 16,310.81 "," 15,705.79 "," 16,370.89 "," 15,446.82 "," 34,175,758,344 "
2020-11-13," 16,339.56 "," 16,310.81 "," 16,491.92 "," 15,975.00 "," 31,599,492,172 "
2020-11-14," 16,082.01 "," 16,339.56 "," 16,339.60 "," 15,708.24 "," 27,481,710,135 "
2020-11-15," 15,966.89 "," 16,082.01 "," 16,175.60 "," 15,796.09 "," 23,653,867,583 "
2020-11-16," 16,726.64 "," 15,970.00 "," 16,892.00 "," 15,879.00 "," 31,526,766,675 "
2020-11-17," 17,679.36 "," 16,726.49 "," 17,880.00 "," 16,575.42 "," 39,006,849,170 "
2020-11-18," 17,782.91 "," 17,679.86 "," 18,488.00 "," 17,205.02 "," 49,064,800,278 "
2020-11-19," 17,821.58 "," 17,790.18 "," 18,193.29 "," 17,356.00 "," 36,985,055,355 "
2020-11-20," 18,675.25 "," 17,821.92 "," 18,830.30 "," 17,764.76 "," 36,992,873,940 "
2020-11-21," 18,721.21 "," 18,677.84 "," 18,980.00 "," 18,350.00 "," 39,650,210,707 "
2020-11-22," 18,437.66 "," 18,721.21 "," 18,773.56 "," 17,610.77 "," 41,280,434,226 "
2020-11-23," 18,384.82 "," 18,437.18 "," 18,777.77 "," 18,001.00 "," 42,741,112,308 "
2020-11-24," 19,172.84 "," 18,384.82 "," 19,469.00 "," 18,052.02 "," 51,469,565,009 "
2020-11-25," 18,721.93 "," 19,172.90 "," 19,500.00 "," 18,502.00 "," 43,710,357,371 "
2020-11-26," 17,170.00 "," 18,717.24 "," 18,915.48 "," 16,200.00 "," 61,396,835,737 "
2020-11-27," 17,153.95 "," 17,169.99 "," 17,475.00 "," 16,400.00 "," 38,886,494,645 "
2020-11-28," 17,739.85 "," 17,155.43 "," 17,933.25 "," 16,880.00 "," 32,601,040,734 "
2020-11-29," 18,202.04 "," 17,736.10 "," 18,359.00 "," 17,535.26 "," 31,133,957,704 "
2020-11-30," 19,713.94 "," 18,202.02 "," 19,873.23 "," 18,201.47 "," 47,728,480,399 "
2020-12-01," 18,782.97 "," 19,713.94 "," 19,915.14 "," 18,109.00 "," 49,633,658,712 "
2020-12-02," 19,225.63 "," 18,778.18 "," 19,340.00 "," 18,335.00 "," 37,387,697,139 "
2020-12-03," 19,448.64 "," 19,222.45 "," 19,625.64 "," 18,885.00 "," 31,930,317,405 "
2020-12-04," 18,658.10 "," 19,446.43 "," 19,546.46 "," 18,576.05 "," 33,872,388,058 "
2020-12-05," 19,158.96 "," 18,658.09 "," 19,189.98 "," 18,501.00 "," 27,242,455,064 "
2020-12-06," 19,375.60 "," 19,158.96 "," 19,430.25 "," 18,878.00 "," 25,293,775,714 "
2020-12-07," 19,177.71 "," 19,375.60 "," 19,432.57 "," 18,901.00 "," 26,896,357,742 "
2020-12-08," 18,316.22 "," 19,177.08 "," 19,299.51 "," 18,200.00 "," 31,692,288,756 "
2020-12-09," 18,546.55 "," 18,316.22 "," 18,647.33 "," 17,639.00 "," 34,420,373,071 "
2020-12-10," 18,253.44 "," 18,546.55 "," 18,556.42 "," 17,905.00 "," 25,547,132,265 "
2020-12-11," 18,042.15 "," 18,257.18 "," 18,293.08 "," 17,580.00 "," 27,919,640,985 "
2020-12-12," 18,821.28 "," 18,044.19 "," 18,955.34 "," 18,023.57 "," 21,752,580,802 "
2020-12-13," 19,166.65 "," 18,821.28 "," 19,421.03 "," 18,730.00 "," 25,450,468,637 "
2020-12-14," 19,272.37 "," 19,166.65 "," 19,349.98 "," 18,967.68 "," 22,473,997,681 "
2020-12-15," 19,444.60 "," 19,272.37 "," 19,565.00 "," 19,051.27 "," 26,741,982,541 "
2020-12-16," 21,359.65 "," 19,443.19 "," 21,569.94 "," 19,300.00 "," 44,409,011,479 "
2020-12-17," 22,826.48 "," 21,360.50 "," 23,776.94 "," 21,252.01 "," 71,378,606,374 "
2020-12-18," 23,137.76 "," 22,826.37 "," 23,280.00 "," 22,329.00 "," 40,387,896,275 "
2020-12-19," 23,849.99 "," 23,138.89 "," 24,200.00 "," 22,770.00 "," 38,487,546,580 "
2020-12-20," 23,476.51 "," 23,850.00 "," 24,300.00 "," 23,100.00 "," 37,844,228,422 "
2020-12-21," 22,729.40 "," 23,476.51 "," 24,118.75 "," 21,913.84 "," 45,852,713,981 "
2020-12-22," 23,823.27 "," 22,729.40 "," 23,839.78 "," 22,380.05 "," 44,171,632,681 "
2020-12-23," 23,228.35 "," 23,824.13 "," 24,090.00 "," 22,600.00 "," 51,146,161,904 "
2020-12-24," 23,717.96 "," 23,226.18 "," 23,785.00 "," 22,712.89 "," 41,080,759,713 "
2020-12-25," 24,704.71 "," 23,718.61 "," 24,770.95 "," 23,416.00 "," 42,068,395,846 "
2020-12-26," 26,475.35 "," 24,704.71 "," 26,822.00 "," 24,490.01 "," 48,332,647,295 "
2020-12-27," 26,258.65 "," 26,482.64 "," 28,387.00 "," 25,772.55 "," 66,479,895,605 "
2020-12-28," 27,040.36 "," 26,255.16 "," 27,477.00 "," 26,086.19 "," 49,056,742,893 "
2020-12-29," 27,366.35 "," 27,039.39 "," 27,396.77 "," 25,833.73 "," 45,265,946,774 "
2020-12-30," 28,897.42 "," 27,366.35 "," 29,018.26 "," 27,311.73 "," 51,287,442,704 "
2020-12-31," 28,990.08 "," 28,897.42 "," 29,321.90 "," 28,000.00 "," 46,754,964,848 "
2021-01-01," 29,412.84 "," 28,990.08 "," 29,688.88 "," 28,700.00 "," 40,730,301,359 "
2021-01-02," 32,225.91 "," 29,413.29 "," 33,300.00 "," 29,039.00 "," 67,865,420,765 "
2021-01-03," 33,080.66 "," 32,222.88 "," 34,810.00 "," 32,008.62 "," 78,665,235,202 "
2021-01-04," 32,019.99 "," 33,082.84 "," 33,666.99 "," 27,678.00 "," 81,163,475,344 "
2021-01-05," 34,030.64 "," 32,020.22 "," 34,499.67 "," 29,891.13 "," 67,547,324,782 "
2021-01-06," 36,859.26 "," 34,043.91 "," 37,000.00 "," 33,352.54 "," 75,289,433,811 "
2021-01-07," 39,505.56 "," 36,859.26 "," 40,425.00 "," 36,200.00 "," 84,762,141,031 "
2021-01-08," 40,665.15 "," 39,510.55 "," 41,986.37 "," 36,565.08 "," 88,107,519,480 "
2021-01-09," 40,257.43 "," 40,642.15 "," 41,406.94 "," 38,800.00 "," 61,984,162,837 "
2021-01-10," 38,171.57 "," 40,257.43 "," 41,452.12 "," 34,444.00 "," 79,980,747,690 "
2021-01-11," 35,452.59 "," 38,168.89 "," 38,273.88 "," 30,100.00 "," 123,321,000,000 "
