date,close,open,high,low,volume
2020-11-05,15608.21,14165.86,15775.00,14115.00,40856321439
2020-11-06,15599.95,15608.06,15977.67,15190.36,39837841971
2020-11-07,14834.09,15599.95,15779.24,14310.00,35024953706
2020-11-08,15482.90,14834.09,15666.00,14721.90,26632075029
2020-11-09,15342.25,15482.89,15856.90,14817.14,34149115566
2020-11-10,15315.03,15342.10,15481.06,15090.08,25574938143
2020-11-11,15705.79,15315.46,16000.00,15293.04,29772374934
2020-11-12,16310.81,15705.79,16370.89,15446.82,34175758344
2020-11-13,16339.56,16310.81,16491.92,15975.00,31599492172
2020-11-14,16082.01,16339.56,16339.60,15708.24,27481710135
2020-11-15,15966.89,16082.01,16175.60,15796.09,23653867583
2020-11-16,16726.64,15970.00,16892.00,15879.00,31526766675
2020-11-17,17679.36,16726.49,17880.00,16575.42,39006849170
2020-11-18,17782.91,17679.86,18488.00,17205.02,49064800278
2020-11-19,17821.58,17790.18,18193.29,17356.00,36985055355
2020-11-20,18675.25,17821.92,18830.30,17764.76,36992873940
2020-11-21,18721.21,18677.84,18980.00,18350.00,39650210707
2020-11-22,18437.66,18721.21,18773.56,17610.77,41280434226
2020-11-23,18384.82,18437.18,18777.77,18001.00,42741112308
2020-11-24,19172.84,18384.82,19469.00,18052.02,51469565009
2020-11-25,18721.93,19172.90,19500.00,18502.00,43710357371
2020-11-26,17170.00,18717.24,18915.48,16200.00,61396835737
2020-11-27,17153.95,17169.99,17475.00,16400.00,38886494645
2020-11-28,17739.85,17155.43,17933.25,16880.00,32601040734
2020-11-29,18202.04,17736.10,18359.00,17535.26,31133957704
2020-11-30,19713.94,18202.02,19873.23,18201.47,47728480399
2020-12-01,18782.97,19713.94,19915.14,18109.00,49633658712
2020-12-02,19225.63,18778.18,19340.00,18335.00,37387697139
2020-12-03,19448.64,19222.45,19625.64,18885.00,31930317405
2020-12-04,18658.10,19446.43,19546.46,18576.05,33872388058
2020-12-05,19158.96,18658.09,19189.98,18501.00,27242455064
2020-12-06,19375.60,19158.96,19430.25,18878.00,25293775714
2020-12-07,19177.71,19375.60,19432.57,18901.00,26896357742
2020-12-08,18316.22,19177.08,19299.51,18200.00,31692288756
2020-12-09,18546.55,18316.22,18647.33,17639.00,34420373071
2020-12-10,18253.44,18546.55,18556.42,17905.00,25547132265
2020-12-11,18042.15,18257.18,18293.08,17580.00,27919640985
2020-12-12,18821.28,18044.19,18955.34,18023.57,21752580802
2020-12-13,19166.65,18821.28,19421.03,18730.00,25450468637
2020-12-14,19272.37,19166.65,19349.98,18967.68,22473997681
2020-12-15,19444.60,19272.37,19565.00,19051.27,26741982541
2020-12-16,21359.65,19443.19,21569.94,19300.00,44409011479
2020-12-17,22826.48,21360.50,23776.94,21252.01,71378606374
2020-12-18,23137.76,22826.37,23280.00,22329.00,40387896275
2020-12-19,23849.99,23138.89,24200.00,22770.00,38487546580
2020-12-20,23476.51,23850.00,24300.00,23100.00,37844228422
2020-12-21,22729.40,23476.51,24118.75,21913.84,45852713981
2020-12-22,23823.27,22729.40,23839.78,22380.05,44171632681
2020-12-23,23228.35,23824.13,24090.00,22600.00,51146161904
2020-12-24,23717.96,23226.18,23785.00,22712.89,41080759713
2020-12-25,24704.71,23718.61,24770.95,23416.00,42068395846
2020-12-26,26475.35,24704.71,26822.00,24490.01,48332647295
2020-12-27,26258.65,26482.64,28387.00,25772.55,66479895605
2020-12-28,27040.36,26255.16,27477.00,26086.19,49056742893
2020-12-29,27366.35,27039.39,27396.77,25833.73,45265946774
2020-12-30,28897.42,27366.35,29018.26,27311.73,51287442704
2020-12-31,28990.08,28897.42,29321.90,28000.00,46754964848
2021-01-01,29412.84,28990.08,29688.88,28700.00,40730301359
2021-01-02,32225.91,29413.29,33300.00,29039.00,67865420765
2021-01-03,33080.66,32222.88,34810.00,32008.62,78665235202
2021-01-04,32019.99,33082.84,33666.99,27678.00,81163475344
2021-01-05,34030.64,32020.22,34499.67,29891.13,67547324782
2021-01-06,36859.26,34043.91,37000.00,33352.54,75289433811
2021-01-07,39505.56,36859.26,40425.00,36200.00,84762141031
2021-01-08,40665.15,39510.55,41986.37,36565.08,88107519480
2021-01-09,40257.43,40642.15,41406.94,38800.00,61984162837
2021-01-10,38171.57,40257.43,41452.12,34444.00,79980747690
2021-01-11,35452.59,38168.89,38273.88,30100.00,123321000000
2021-01-12,34038.98,35456.89,36604.51,32500.00,74773277909
2021-01-13,37393.66,34035.53,37888.00,32309.04,69364315979
2021-01-14,39125.14,37393.67,40127.66,36751.11,63615990033
2021-01-15,36754.67,39123.05,39697.00,34298.93,67760757881
2021-01-16,36006.94,36754.60,37948.00,35372.59,57706187875
2021-01-17,35820.00,36004.80,36860.00,33850.03,52359854336
2021-01-18,36624.23,35820.01,37402.00,34736.46,49511702429
2021-01-19,35917.28,36624.23,37857.00,35895.11,57244195486
2021-01-20,35503.09,35921.91,36415.34,33387.01,66834573161
2021-01-21,30855.95,35498.85,35628.24,30011.00,75643067688
2021-01-22,32984.93,30855.90,33867.00,28732.00,77207272511
2021-01-23,32112.01,32982.66,33488.79,31432.19,48354737975
2021-01-24,32288.56,32110.00,33086.53,30931.21,48643830599
2021-01-25,32261.87,32293.18,34888.00,31920.80,59897054838
2021-01-26,32510.82,32260.52,32960.37,30830.00,60255421470
2021-01-27,30407.13,32510.82,32584.62,29156.00,62576762015
2021-01-28,33488.99,30414.11,34000.00,29902.14,76517157706
2021-01-29,34262.11,33487.92,38570.13,31990.00,117895000000
2021-01-30,34315.63,34262.11,34900.00,32852.86,65141828798
2021-01-31,33137.74,34315.63,34387.75,32200.00,52754542671
2021-02-01,33533.19,33137.75,34728.57,32333.00,61400400660
2021-02-02,35512.67,33534.39,36000.00,33450.00,63088585433
2021-02-03,37678.37,35513.00,37723.72,35393.80,61166818159
2021-02-04,36975.00,37688.42,38769.00,36156.45,68838074392
2021-02-05,38311.49,36976.59,38349.00,36605.87,58598066402
2021-02-06,39265.43,38327.09,41000.00,38250.00,71326033653
2021-02-07,38871.42,39266.10,39737.83,37371.35,65500641143
2021-02-08,46448.10,38871.43,46750.00,38057.01,101467000000
2021-02-09,46514.73,46453.66,48200.00,45020.00,91809846886
2021-02-10,44850.00,46514.73,47349.99,43706.86,87301089896
2021-02-11,47997.91,44850.00,48690.00,44011.00,81388911810
2021-02-12,47408.34,47993.60,48912.00,46300.00,76555041196
2021-02-13,47232.45,47408.34,48199.00,46300.00,70250456155
2021-02-14,48680.69,47240.75,49700.00,47100.13,71248675228
2021-02-15,47936.37,48667.23,49093.44,45768.46,77069903166
2021-02-16,49158.71,47935.66,50645.00,47051.22,77049582886
2021-02-17,52170.01,49141.43,52640.35,48942.87,80820545404
2021-02-18,51601.73,52170.01,52549.99,50875.00,52054723579
2021-02-19,55983.56,51596.00,56370.05,50725.00,63495496918
2021-02-20,55923.52,55983.57,57563.57,54000.10,68145460026
2021-02-21,57489.16,55921.44,58367.00,55531.23,51897585191
2021-02-22,54142.13,57489.16,57577.69,46616.00,92052420332
2021-02-23,48899.99,54125.67,54206.22,44888.08,106102000000
2021-02-24,49737.82,48899.99,51415.41,47002.00,63695521388
2021-02-25,47058.48,49737.81,52107.83,46700.00,54506565949
2021-02-26,46326.20,47063.90,48464.64,44150.00,350968000000
