Year,Week,Week_Code,Week_Start_Date,Week_End_Date,Sentiment,Price_Start,Price_End,Price_Avg,Price_Change_Pct,Agreement_Label,Summary
2020,45,2020-W45,2020-11-05,2020-11-08,Bullish,15608.21,15482.90,15381.29,-0.80,Disagree,"Bitcoin Market Health
Bitcoin had yet another impressive week, starting Week 45 at $13,690 and ending it at $15,500. This represents a 13.2% increase, and marks BTC's first time venturing over $15k since January 2018, almost 3 years ago.
Bitcoin on-chain fundamentals rose slightly during Week 45, starting to make up for the previous week's losses.
GNI
gained 5 points to reach a score of 62 points. This increase was caused mostly by a rise in the Liquidity subindex, with Network Health also gaining some strength.
Network Health
rose by 3 points over the past week, reaching a score of 62 points. This was driven by an increase in the network growth subcategory as BTC saw more new addresses and entities.
Liquidity
gained 10 points, ending the week at a score of 59 points. Transaction liquidity performed particularly well, increasing by 11 points as the number of on-chain transactions and the total transfer volume of BTC on-chain increased.
Sentiment
lost 2 points for Week 45, ending the week at a score of 66 points. The saving behavior subcategory was the main driver behind this decline, as hodlers continued to sell more than they were buying on average.
Glassnode Compass
The compass once again sits firmly in the bullish Regime 1 for Week 45, marking an extremely strong week for BTC.
The continued price increases over the past week saw BTC exceed $15k for the first time since the early 2018 bull run, and this growth appears to be continuing, with strongly positive sentiment echoing throughout the community.
In the wake of the US election, the stock market has begun to rally - but BTC's growth has significantly outpaced this, putting more weight behind the possibility of a decoupling that we have been seeing over the past few weeks. If bitcoin's growth trajectory continues, it may be able to firmly decouple from traditional financial markets, opening it up for even further growth.
Altcoin Digest
Performance against BTC
Most of the top altcoins performed worse than BTC over Week 45, losing between 2.7% and 11.7% against the top cryptocurrency. One notable exception is ETH, which gained 1.2% against BTC for the week.
The worst performing top 10 altcoin was BNB, which lost 11.7% against bitcoin. In spite of this loss, however, it maintained its position at number 7 in terms of total market cap.
Performance against USD
Despite mostly losing value against BTC, the top altcoins all increased in USD value over the past week. The most impressive performer was ETH, gaining 14.6% and exceeding $450 for the first time since July 2018.
LINK also saw a comeback over the past week, gaining 10.1% and making its way above $12 once again. Meanwhile, BNB languished, gaining only a fraction of a percent in value.
Which altcoins would you like to see us cover in future editions of The Week On-Chain?"
2020,46,2020-W46,2020-11-09,2020-11-15,Bearish,15342.25,15966.89,15866.05,4.07,Disagree,"Bitcoin Market Health
Bitcoin experienced another week of price gains during Week 46, starting the week at $15,500 and ending it at $15,940. On Thursday, it rose above $16,000 for the first time since January 2018. Although it dipped below this point later in the week, as of today, BTC is back above $16k once again.
Bitcoin on-chain fundamentals saw a small drop over Week 46.
GNI
lost 1 point, dropping to a score of 61 points. This was caused by decreases in the Liquidity and Sentiment subindices, while Network Health increased.
Network Health
gained 5 points, ending the week at a score of 67 points. Both the network growth and network activity subcategories saw decent gains as a result of an increase in on-chain transactions and new entities joining the network.
Liquidity
lost 5 points throughout the week, giving it a score of 54. Transaction liquidity dropped slightly, but trading liquidity saw even larger losses. This decrease was caused by a decline in the number of BTC being deposited onto exchanges, as well as a drop in the supply of stablecoins relative to the supply of BTC.
Sentiment
saw a 4 point decrease, ending Week 46 at a score of 62 points. The investor sentiment subcategory was responsible for this decrease, dropping mostly as a result of a decline in STH-SOPR. In other words, short-term traders are selling BTC at a lower profit margin on average.
Glassnode Compass
As BTC continues to show bullish signs, the compass remains in Regime 1 for yet another week, signalling continued positive sentiment.
While GNI dropped by one point over the past week, bitcoin's price trend increased to a value of 16% after it rose to exceed $16,000 for the first time since the last major crypto bull market.
BTC's continued price increases have pushed it further and further from trends in the stock market, lending even more credence to narratives that suggest a potential decoupling from traditional markets.
Some are also circulating a narrative that
BTC could decouple
from the rest of the cryptocurrency market. However, this seems less likely, and is not supported by historical trends. In the past, increases in BTC have been followed by increases in ETH and other major altcoins, followed by smaller altcoins and DeFi. As such, while crypto markets may be decoupling from the stock market, BTC likely won't decouple from the rest of crypto at this stage.
Altcoin Digest
Performance against BTC
The top altcoins mostly performed poorly in comparison with bitcoin throughout Week 46, with the exception of XRP, which gained 2.8% against BTC.
In the midst of announcements about a hard fork, BCH lost 12.9% of its value in BTC terms throughout the week.
Performance against USD
Not only did most of the top altcoins lose value against BTC over the week, but they also lost USD value (once again with the exception of XRP).
While ETH only dropped by 1.5%, BCH lost a massive 10.5% of its USD value following its
fork
into two chains (BCHA and BCHN).
Which altcoins would you like to see us cover in future editions of The Week On-Chain?"
2020,47,2020-W47,2020-11-16,2020-11-22,Bullish,16726.64,18437.66,17977.80,10.23,Agree,"Bitcoin Market Health
BTC had another impressive week, rising above $18,000 for the first time since December 2017 and coming close to reaching a new all-time high. Starting the week at $15,930, it quickly rose above $17k and then $18k, finishing off Week 47 at a price of over $18,600.
Bitcoin on-chain fundamentals experienced strong gains throughout Week 47.
GNI
rose by 6 points, reaching a score of 67 points, with all three major subindices experiencing growth.
Network Health
saw an 11 point increase throughout the week, ending at a score of 67 points. The network activity subcategory performed particularly well, growing by 13 points due to an increase in the number of active entities and the on-chain transaction rate.
Liquidity
rose by 2 points, reaching a final score of 56 points for the week. While trading liquidity decreased due to BTC being continually withdrawn from exchanges, transaction liquidity grew as the number of on-chain transactions increased.
Sentiment
ended the week at 68 points, representing a 6 point increase. The saving behavior subcategory made the largest contribution to this growth, increasing by 24 points (140%) as BTC hodlers slowed the rate at which they were selling.
Glassnode Compass
The compass shot high into the bullish quadrant over the past week, seeing impressive gains in terms of both GNI and price trend.
Its firm position in the bullish Regime 1 is bolstered by strong on-chain fundamentals, continued growth in terms of adoption, and impressive price gains over the past few weeks.
In addition, BTC has continued to significantly outperformed the stock market, growing by almost 17% over the past week in comparison with last week's 2% drop in the SPY index. This supports narratives around a potential decoupling, which - if it can be maintained - removes stock prices as an upper bound for bitcoin's growth.
Altcoin Digest
Performance against BTC
Aside from BNB, the top altcoins all performed well against BTC throughout Week 47. XRP saw the largest gains, growing by almost 50% next to bitcoin.
BNB continues to perform poorly in comparison with other altcoins, dropping down to 10th place in terms of market cap while the rest of the market thrives.
Performance against USD
In USD terms, all of the top altcoins saw gains over the past week - even including BNB, despite its losses in relation to bitcoin. XRP gained an impressive 73.9% over the week.
LTC has also made its way back into the top 10 over the past couple of months, now sitting at 6th place after languishing at number 12 just eight weeks ago.
Which altcoins would you like to see us cover in future editions of The Week On-Chain?"
2020,48,2020-W48,2020-11-23,2020-11-29,Bearish,18384.82,18202.04,18077.92,-0.99,Agree,"A New Week On-Chain
We're changing up The Week On-Chain to place even more of a focus on the fundamentals offered by on-chain data. This new format will include more of what our readers love most, while keeping the core information that provides actionable market insights about BTC and other popular cryptoassets! If you miss the old format, or have any other feedback on our new format,"
2020,49,2020-W49,2020-11-30,2020-12-06,Bullish,19713.94,19375.60,19194.83,-1.72,Disagree,"Bitcoin Market Health
BTC had another successful week during Week 49, recovering from the previous week's slump and briefly overtaking its previous all-time high. On Tuesday, it set a new ATH of $19,857, but immediately dropped back down into the $18,000s before slowly rising again, ending the week at $19,050.
For the Bulls
Bitcoin's
Reserve Risk
is still low, suggesting that the bull market may just be getting started. Reserve Risk is used to assess the confidence of long-term holders relative to the price of BTC; when confidence is high and price is low, Reserve Risk is low, and there is an attractive risk/reward to invest.
Currently, BTC's Reserve Risk is still close to the green zone, indicating that there is high confidence in bitcoin at this price point. This metric is presently even lower than it was during the 2019 bull run, when BTC reached $13k. The fact that it is still so low - even as bitcoin fluctuates around all-time highs - indicates an attractive risk/reward ratio for investing in BTC at this price.
For the Bears
Despite the high confidence in BTC demonstrated by its Reserve Risk value, the number of
Coin Days Destroyed (CDD)
has been gradually increasing. This generally indicates that older coins are moving, meaning that longer-term holders are selling off some of their BTC and realizing profits.
This sell pressure generated by longer-term holders is currently depressing BTC's price, keeping it from breaking out above $20k. While so many long-term holders remain in a state of significant profit, sideways or downwards price movement can be expected as they realize these profits.
However, while high CDD may suggest that longer-term holders are taking profits, the global top is likely not here yet. Historically, CDD increases during bull runs, but usually peaks before the top. As such, although long-term holders may be selling at current prices (and creating downward price pressure), historical trends suggest that buy pressure will more than make up for this activity in the longer term.
A Comment from Willy Woo
Woo's Take: While on-chain signals for BTC are long-term bullish, investors can anticipate a correction in the coming weeks.
For bullish runs driven by organic investments,
SOPR
is a useful on-chain metric to signal when a pull back has finished correcting. SOPR measures the profit made by outgoing investors as they offload their coins. Typically SOPR needs to reset to zero before a correction is complete, that’s because investors in a bull market do not like selling at a loss, they’d rather HODL thereby alleviating the sell pressure allowing the bullish to continue.
The chart above shows just how far SOPR needs to retrace until a reset is complete. I’ve marked the corresponding region in the last bull cycle when Bitcoin tested all time highs. In that extremely fast rejection, SOPR took only 7 days to retrace, this one is likely to take longer given the nature of the month long run up, maybe 2-4 more weeks.
Read more from Willy Woo in his newsletter,
The Bitcoin Forecast
.
Altcoin Feature: PICKLE Tokens are being Withdrawn from Smart Contracts
The number of
PICKLE tokens being held in smart contracts
has been steadily and rapidly decreasing over the past week. The percentage of locked PICKLE has dropped from 82.6% down to 55.4% since 2 December.
This decrease is likely due to the fact that Pickle is no longer distributing token rewards to stakers since the Pickle protocol was
hacked
on 22 November. However, this number will likely increase again soon when
Yearn introduces Pickle vaults
.
Under this new model, PICKLE holders will be able to stake their tokens to earn DILL tokens, which can be used to participate in governance votes as well as boosting Yearn vault rewards. In the meantime, however, investors should be aware that the presence of more liquid PICKLE tokens in circulation may have an impact on price.
Which altcoins would you like to see us cover in future editions of The Week On-Chain?"
2020,50,2020-W50,2020-12-07,2020-12-13,Bearish,19177.71,19166.65,18617.71,-0.06,Agree,"Bitcoin Market Health
After starting Week 50 at $19,360, BTC started to gradually decline in price, reaching a weekly low of $17,640 on Friday. After this point, though, it quickly began to rebound, ending the week back above $19k at $19,180.
For the Bulls
Bitcoin's
Long-Term Holder MVRV Ratio
(LTH-MVRV) is currently providing an extremely bullish signal. MVRV is the ratio of market cap to realized cap, and gives an indication of when the traded price of BTC is above or below ""fair value""; LTH-MVRV is a variant of this metric that accounts for coins which are at least 155 days old.
When LTH-MVRV reaches the red zone (above 20), this generally indicates a global top. But as we can see in the chart below, bitcoin's LTH-MVRV is still very far from the red zone.
In fact, the last time LTH-MVRV was this low during a bull run, the price of BTC was barely over $1000, and still experienced a 1432% increase before the top. If bitcoin were to follow the same trend again, this would translate to a market top of over $270,000 for this bull market.
For the Bears
Despite overwhelmingly bullish on-chain signals, bitcoin's
entity-adjusted SOPR
may indicate some short-term bearish sentiment. SOPR shows the extent to which BTC holders are selling at a profit or loss; a value above 1 indicates that sales are on average occurring at a profit, while a value below 1 indicates sales at a loss.
Bitcoin's entity-adjusted SOPR is still comfortably above 1, but it has been declining since late November, indicating that the amount of profit being realized is decreasing, despite price staying relatively consistent during this period.
These kinds of dips in SOPR usually indicate micro-bearish sentiment, as sellers are taking less profit. However, historically, these represent more of a shake-out than a trend reversal. In fact, when SOPR declines during a bull market, this usually corresponds with sideways price movement; then, when it approaches or dips below 1, this consistently results in an upwards price correction.
As such, even though SOPR's decline may appear to imply bearish sentiment, it is actually a signal of an approaching upwards trend. Investors should keep an eye on SOPR's decline to identify a potential local bottom before the next bull run.
A Bullish Comment from Willy Woo
Woo's Take: Despite an imminent retrace seeming likely, the greater environment is of continued buyer demand.
While SOPR indicates profit taking is still in process,
net flows are once again leaving the exchanges
which indicates continued spot buyer demand. This buying pressure will mitigate and any large downside move.
In other words, large pullback targets like $14k even $15.5k which I’ve seen floating around are very unlikely, this would take some bearish changes to the on-chain structure which simply have not developed yet.
We are in a solid bullish environment over the medium term environment (next 3 months).
Read more from Willy Woo in his newsletter,
The Bitcoin Forecast
.
Altcoin Feature: Stablecoin Lockup is Increasing - But So is their Buying Power
After dropping sharply following the end of UNI farming, the
supply of stablecoins locked in smart contracts
has begun to increase once again over the past few weeks. This new upward trend can be seen across USDC, USDT, and DAI.
As more stablecoins are locked up - usually for yield farming purposes - the supply available to be moved into non-stable coins (such as BTC and ETH) decreases, lowering the available ""buying power"" for these assets. However, this effect is countered by the continued
large increases in stablecoin supply
, which more than makes up for the increase in locked stablecoins.
Using
USDC as an example
(although this holds true for all major stablecoins), we can see that the increase in total circulating supply outstrips the growth in the supply locked in smart contracts, meaning that the freely available supply of stablecoins is still increasing despite more of them being locked up.
This illustrates that not only is there growth in the DeFi world (which incentivizes the locking up of stablecoins), but there is still even further growth in the number of liquid stablecoins. In other words, the supply of stablecoins available to buy into volatile assets such as BTC and ETH continues to increase, even as DeFi takes up more of the total supply.
This trend is highly bullish, as it signifies growth (and continued growth potential) across both traditional crypto trading and novel forms of yield generation in crypto.
Which altcoins would you like to see us cover in future editions of The Week On-Chain?"
2020,51,2020-W51,2020-12-14,2020-12-20,Bearish,19272.37,23476.51,21909.62,21.81,Disagree,"Bitcoin Market Health
Bitcoin had a stellar week of growth, smashing through its previous all-time high to find support above $23k for the first time ever. After starting the week at $19,150, BTC rose rapidly over Wednesday and Thursday and continued to make gains throughout the rest of the week. All in all, it saw a 23% price increase, ending the week at $23,510.
For the Bulls
Bitcoin's
Reserve Risk
remains extremely low despite the price passing its previous all-time high, indicating a favorable risk/reward ratio for investing.
Reserve Risk is used to assess the confidence of long-term holders relative to the price of BTC; when confidence is high and price is low, Reserve Risk remains low, and there is an attractive risk/reward to invest (
learn more
).
Bitcoin's Reserve Risk currently remains close to the green zone despite significant upward price movements, suggesting that there is high confidence in BTC at this price point.
When Reserve Risk was at similarly low levels during the 2017 bull run, the price of bitcoin was still under $2000, and saw a 923% increase before the top. If BTC were to follow this same trend in the current market, it would translate to a market top of almost $220,000.
For the Bears
As we forecast in
last week's newsletter
, BTC's recent downward correction in Entity-Adjusted SOPR was indeed a signal of an approaching upwards trend. The downward trend has now reversed, suggesting that BTC's sideways movement below $20k may be well and truly behind us, with new support levels staying above $23k for the time being.
However, in bull markets, similar spikes in SOPR are usually followed by sideways or more gradual upwards price movement before the next acceleration.
As such, although on-chain indicators are still macro-bullish, this trend indicates that we may see some sideways movement for BTC before the next price spike. While this news is not bearish per se, it does suggest that there are some limitations on BTC's growth in the very short term, despite the overall environment remaining bullish.
A Bullish Comment from Willy Woo
Woo's Take: We are in a solid bullish environment over the next few months.
The
Bitcoin Difficulty Ribbon
, is a reliable medium term indicator tracking the contraction and expansion of mining hash power on the network. Expansions out of a compressed zone are bullish.
The recent approach towards all-time-highs coincided with a contraction in the ribbon; now, it’s once again in an expansion. We are in a solid bullish environment over the medium term environment (next 3 months).
Read more from Willy Woo in his newsletter,
The Bitcoin Forecast
.
Altcoin Feature: Litecoin Outperforms Top 10 Cryptocurrencies
Over the past week, Litecoin has experienced a meteoric rise, gaining almost 40% over 7 days and significantly outperforming the rest of the top 10 cryptocurrencies. While it is still far from its ATH of $375, its gains over the past week suggest that it is regaining popularity after falling out of the top 10 earlier this year.
Meanwhile,
litecoin's MVRV Ratio
remains low, at just 1.6 compared with bitcoin's 2.9. This ratio of market cap to realized cap indicates that LTC is relatively undervalued in comparison with BTC, suggesting room for further growth before it becomes overvalued.
Litecoin's MVRV Ratio is also well below its 2017 high of 3.7, further suggesting that this often underestimated cryptocurrency is well poised to make a comeback.
Which altcoins would you like to see us cover in future editions of The Week On-Chain?"
2020,52,2020-W52,2020-12-21,2020-12-27,Bullish,22729.40,26258.65,24419.67,15.53,Agree,"Bitcoin Market Health
BTC continued its rapid bull run over the past week, continuing to hit new all-time highs and rapidly climbing to exceed $28,000. After starting the week at $23,480, it rose consistently, reaching a high of $28,289. However, on Sunday, it started to decrease slightly, closing out the week at $26,390.
For the Bulls
Despite BTC's extreme price gains over the past month, its
Net Unrealized Profit/Loss (NUPL)
is still relatively low, at a value of 0.67. This means it is still in the green ""belief"" zone, and hasn't yet reached the blue ""euphoria"" zone that usually represents market tops.
This relatively low NUPL value indicates that BTC has more room to grow before the top, despite being well above its previous all-time high already. For comparison, when NUPL was at its current value during the 2017 bull run, BTC was only $5622, and still increased by 248% before the top. If bitcoin follows this trend again, it would translate to a market top of $65,500.
This makes BTC's low NUPL value a bullish signal, as it demonstrates that bitcoin has plenty of room for growth before a market top is reached.
A Bullish Comment from Willy Woo
Woo's Take: $200k+ is possible in 2021
We are now past the all-time-high juncture where my Top Cap model starts curving upwards. While this model does not predict a price, it can estimate a ceiling on price for a point in the future, it has hit every macro market top in Bitcoins history.
Assuming the price tops out in December 2021 following prior market cycles, a $100k target would be overly conservative, a target of $200k-$300k would be considered realistic.
Read more from Willy Woo in his newsletter,
The Bitcoin Forecast
.
Altcoin Feature: ETH Balance on Exchanges is Increasing
After decreasing for most of the year, the
balance of ETH on centralized exchanges
has begun to increase this month.
BTC and ETH both saw marked decreases in their exchange balance this year, as trust in centralized institutions fell and more investors withdrew their assets to hodl for the longer term. However, as of mid-December, the number of ETH on exchanges has started to increase again.
While this may be seen as bearish for ETH (as it could indicate intent to sell), there is an alternative explanation for this rise. Most of the increase in ether's exchange balance
occurred on Bitfinex
, which
launched loans for BTC and ETH
on 18 December.
As such, the increase can likely be explained by investors using
Bitfinex Borrow
to borrow ETH, an interpretation which is supported by a similar increase in the
number of BTC on Bitfinex
at the same time. This implies that investors are taking long positions rather than preparing to sell, which is a bullish signal for ETH.
Which altcoins would you like to see us cover in future editions of The Week On-Chain?"
2021,1,2021-W01,2021-01-04,2021-01-10,Bullish,32019.99,38171.57,37358.51,19.21,Agree,"Bitcoin Market Health
Bitcoin had yet another impressive week over the New Year period, reaching new all-time highs and exceeding $30k for the first time. After starting the week at $26,270, it increased continually, reaching a high of $34,550 before dipping slightly to end the week at $32,685.
For the Bulls
As BTC's price continues to rise, widespread retail interest in bitcoin is increasing, with the
number of address holding a non-zero amount of BTC
reaching an all-time high of over 33 million.
However, while news coverage and retail interest in bitcoin are rapidly growing, the
number of daily new BTC addresses
has still not reached 2017 levels. This metric's steady and consistent growth (as opposed to the sudden peak seen in the last major bull market) suggests that BTC is experiencing strong organic growth in adoption, but not the sort of viral growth typical of a bubble.
These metrics therefore paint a bullish picture of a market characterized by healthy, sustainable growth as opposed to hype.
A Bullish Comment from Willy Woo
Woo's Take: In the long range, exchange inventory structure points to a good year ahead.
Inventory depletion on spot exchanges
has stopped, signifying the re-accumulation phase of the macro cycle is likely complete. The chart below marks where we are in the overall macro cycle through the lens of spot inventory.
What causes inventory to increase in later stages of the bull market? Retail tends to store their coins on exchanges which attributes to a net inventory climb. This typifies the main phase of the bull market. Since we already know institutions are buying in large quantities, the flattening of spot inventory depletion is a sign that retail buyers are now entering in large volumes, attracted by recent price rises.
Read more from Willy Woo in his newsletter,
The Bitcoin Forecast
.
Altcoin Feature: ETH's Bull Run
ETH's spectacular Sunday bull run saw it gain over 37% in a single day, propelling it to the $1000 mark and representing an almost 750% price increase from the same point last year, when it sat below $140.
The last time ETH reached this price was 3 years ago, in January 2018, when it spent less than a month above $1000 before dropping back down into the triple digits. However, on-chain signals suggest that we are still in the earlier stages of a bull market, relative to the same price levels in 2018.
For example, its
MVRV Ratio
(which indicates when an asset may be overvalued) is still extremely low relative to early 2018, when the price was equivalent to current levels.
When MVRV was this low leading up to the 2017 bull run, ETH was still under $25, and experienced a massive 5800% increase before reaching its all-time high. This indicates that in the current market, there is room for significant further growth before ETH becomes overvalued.
Which altcoins would you like to see us cover in future editions of The Week On-Chain?"
2021,2,2021-W02,2021-01-11,2021-01-17,Bullish,35452.59,35820.00,36370.28,1.04,Agree,"Bitcoin Market Health
Week after week, BTC continues to make impressive gains, reaching yet another all-time high this past week as it shot over $40k for the first time ever. After starting the week at $32,780, it climbed consistently until it reached a high of over $41,900 on Friday, before dropping slightly to end the week at $40,730.
Early on Monday morning (European time), BTC and the rest of the market dipped suddenly, with bitcoin losing over 10% of its value in just 2 hours. It quickly bounced back, recovering most of its value as the dip was rapidly bought up by eager investors, but has since continued to decline, dropping below $32k.
For the Bulls
As BTC continues to rise in price, its adoption and usage are also growing, with the
number of active addresses
reaching a new all-time high for the first time since the late 2017 bull market top.
At its highest point last week, over 1.3 million Bitcoin addresses were active in a single day. This continued spike indicates an impressive level of new adoption and activity for BTC, and suggests that the number of market participants in the network may be higher than ever before.
For the Bears
Bitcoin's
aSOPR (Adjusted SOPR)
is extremely high, and hasn't reset back to zero in over 3 months, as it periodically does on the way up. In 2017, aSOPR surged without resetting for 3 months as well – until BTC reached the top.
While on-chain indicators remain macro bullish, this extreme spike in profit-taking suggests that some kind of correction may be imminent.
A Bullish Comment from Willy Woo
Woo's Take: Investor activity continues to be strongly bullish.
Bullish capital flows continue to be strong, keeping the speculative price premium above the estimated fundamental valuation in check. This rally while warming up is no more overheated than late November when the price topped $17k consolidated and continued onwards very quickly.
Meanwhile, looking into the shorter term investment flows happening on spot exchanges, investors are strongly buying this all-time-high.
Read more from Willy Woo in his newsletter,
The Bitcoin Forecast
.
Altcoin Feature: MKR's Comeback and Bull Run
After languishing behind the rest of the DeFi token market and failing to maker significant price gains for the past year, MKR (the native governance token of MakerDAO) suddenly shot up last week from below $600 to an all-time high of $1973.29, which it reached early on Sunday.
However, it has quickly fallen back down after hitting this high, losing over a third of its value in less than 24 hours.
MKR has remained mostly stagnant for the past 6 months, but it recently shot up in price (
Glassnode Studio
)
News outlets credited ""DeFi growth"" for the surge in MKR's price, but that doesn't explain why this relatively stable token has suddenly bucked its previous trend to catch up with the rest of the DeFi market. Rather, the increase in the token's price can more likely be attributed to a massive increase in demand for DAI, the stablecoin generated by the MakerDAO protocol.
The MKR price spiked at the same time as demand for DAI rapidly increased (
Glassnode Studio
)
With demand for stablecoins increasing, and the interest rate for borrowing DAI now sitting above zero, yield seekers have more of an incentive to hold MKR, as it can generate revenue in the form of interest repayments. Whether or not it continues to hold this price remains to be seen, but it is clear that the MKR token was well overdue to regain some of its lost ground against the rest of the DeFi market.
Which altcoins would you like to see us cover in future editions of The Week On-Chain?"
